fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231128 002118	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	216	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0200204197272755	0.905537061713665	353	15407	11916	153255866.066967	24
20231128 003104	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	245	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0552389313037916	0.860354672661133	455	35932	13144	157770470.764618	25
20231128 004328	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	430	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0329111687679916	0.898927303071585	1024	42310	12990	154913498.250875	26
20231128 005329	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	457	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.113058950330062	0.423215197860235	8	31715	12788	148701871.064468	27
20231128 011508	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	952	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.021011183639334	0.428444656930958	1024	41189	12537	155176332.333833	28
20231128 012428	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	281	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0748567537929268	0.851950613549868	528	49980	12556	157679894.052974	29
20231128 014159	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	709	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.055870040671348	0.51614892065946	988	49996	12821	154398307.346327	30
20231128 014608	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	145	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.234960720672706	0.868952348830688	8	49991	13409	148233871.564218	31
20231128 015404	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	105	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0658533407564711	0.880300622582178	131	29416	11972	158021267.366317	32
20231128 020939	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	747	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0565896665121719	0.832849005031131	661	46044	14937	150477481.75912	33
20231128 022206	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1139	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0224456067957051	0.876658147360421	8	25132	13324	154486802.598701	34
20231128 023031	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	675	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0456688534146026	0.878346526825618	8	31986	12759	157836745.127436	35
20231128 024030	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	358	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0670884194944645	0.998892390308082	982	50000	13568	155626658.670665	36
20231128 030315	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1218	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0201099403064654	0.402021106459924	37	15431	13847	153749080.95952	37
20231128 031306	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	225	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0480650736573688	0.828813853876469	204	30587	11845	153873065.967016	38
20231128 031920	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	432	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0825646363143635	0.997925547646014	8	28501	14250	153613478.26087	39
20231128 032712	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	135	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0876812530752054	0.888962506736611	350	35521	12775	155922306.346827	40
20231128 034129	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	545	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0340362436131584	0.862860765647512	1021	35977	13737	154144488.255872	41
20231128 035137	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	264	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0529303924523594	0.879969140849584	469	33702	11585	155027978.510745	42
20231128 040128	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	274	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0716111803484316	0.664592011249932	649	36115	13925	155529557.721139	43
20231128 041157	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	295	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0327748249114745	0.732687857188107	940	49999	12051	152326818.090955	44
20231128 041749	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	289	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0644266997949947	0.862457083530993	10	34996	13775	153570082.458771	45
20231128 042415	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	76	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.045206234020693	0.850091632843988	68	9596	13616	155164581.709145	46
20231128 043517	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	404	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0637664305414774	0.792486600045079	417	49448	14500	155502638.68066	47
20231128 044303	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	90	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.100424156667486	0.815059094006876	137	22719	12709	155947164.917541	48
20231128 045440	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	236	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0459406178655915	0.597435170856069	136	21895	14509	153693591.704148	49
20231128 050615	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	428	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0770692959922826	0.71891841023168	570	40652	12080	157938050.974513	50
20231128 051658	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	697	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0441914350645552	0.965909802817114	28	15961	13176	153345351.324338	51
20231128 053458	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	766	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0210850684264282	0.753794672008462	443	39346	12306	157486125.937031	52
