fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231127 215255	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1310	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0200635800735659	0.446093151698105	434	681	12450	155396606.696652	24
20231127 220529	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	175	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0201323723203417	0.49678551803208	200	21030	11512	155028373.813093	25
20231127 221816	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	278	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0200669152076135	0.816958120833067	425	26213	12980	157487546.226887	26
20231127 223018	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	270	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0200346618287764	0.899535960076289	380	34921	13047	154552279.36032	27
20231127 224233	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	236	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.020240849523981	0.718462490387726	436	25213	12736	156256875.562219	28
20231127 225240	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	219	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.025876954054529	0.781366425551207	360	49597	11330	153528680.65967	29
20231127 230354	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	214	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0202044283940372	0.864593244679319	49	25740	12861	157234129.435282	30
20231127 231303	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	603	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0298878429948581	0.999835886743574	9	26654	14928	155867338.330835	31
20231127 232004	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	536	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.193548494306183	0.999775989405484	8	44539	11814	153256642.678661	32
20231127 232648	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	86	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.299830477232046	0.667633212691975	398	49994	14631	147772585.207396	33
