fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231127 182959	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	922	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0432477908682808	0.676244067187071	698	49109	12317	151946117.441279	24
20231127 183552	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	673	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0612581586368743	0.661529961175275	787	40049	11540	153261799.10045	25
20231127 183835	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	42	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0608391817620155	0.692940690088526	104	30732	12300	144439910.044978	26
20231127 184111	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	65	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0670019895071933	0.749496473424712	391	47117	13830	146416806.596702	27
20231127 184700	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	635	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0353021870223543	0.664260287778514	956	45411	12553	151415936.531734	28
20231127 185224	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	655	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0714179385852552	0.673592476335583	768	49580	12630	153941824.087956	29
20231127 185541	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	96	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.036757022470622	0.746887959093601	65	30944	14421	146690961.01949	30
20231127 185832	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	67	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.051971575185407	0.760347692889638	456	35688	14306	145324946.526737	31
20231127 190423	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	696	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0594596021980218	0.665101350630684	743	44015	12801	153672420.289855	32
20231127 190837	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	379	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0744534960498938	0.677475552263456	782	46658	11655	152137198.90055	33
20231127 191133	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	105	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0484425412258305	0.67711643758516	823	44287	14565	144638243.378311	34
20231127 191411	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	69	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0639988898177208	0.669278986422398	758	47448	14257	143653093.953023	35
20231127 191713	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.156299758708121	0.451713106324337	261	11547	13495	136327903.548226	36
20231127 192036	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	407	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.251527019610885	0.0705267217904954	567	7525	13733	139771868.565717	37
20231127 192317	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	341	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.157061995510751	0.0426435924740246	989	6380	11993	140948890.054972	38
20231127 192755	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	310	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0668159191272573	0.937793467608632	135	31405	12988	153373575.212394	39
20231127 193010	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.259775485097473	0.936894632649225	150	4583	13520	124645477.261369	40
20231127 193312	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	186	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.131875071862334	0.865941164709354	80	11755	10527	151788521.23938	41
20231127 193518	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	30	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.207824851773933	0.353666945252149	14	38410	10549	135429503.748126	42
20231127 194035	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	475	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.140983394043535	0.381548185711364	204	29971	13357	146707136.931534	43
20231127 194250	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	158	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.290171446419512	0.0667126438650931	647	24206	12466	137357890.054972	44
20231127 194517	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	25	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.140742840197932	0.720055192103968	331	34285	14128	142619182.408796	45
20231127 194937	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	449	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.103349264694184	0.358397805358216	22	45305	12260	150861299.350325	46
20231127 195256	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0950740277330665	0.494865850923063	283	3799	11814	141659941.029485	47
20231127 195508	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	270	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.280856398742797	0.0199867104780618	463	25640	14596	136815626.186907	48
20231127 200041	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	643	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.074442249367048	0.987428615136547	715	44122	13959	151015295.852074	49
20231127 200409	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	32	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0876856642630645	0.519561888431574	808	10948	12355	143050072.463768	50
20231127 200819	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	71	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0439230824851713	0.567848416426717	432	13393	13859	148066480.25987	51
20231127 201121	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	147	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.124434762611108	0.968325507898101	957	36861	12759	153526340.329835	52
20231127 201706	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	518	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.129755047054107	0.497694234685579	177	42528	13697	149294933.033483	53
20231127 202058	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	306	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0522321896613611	0.204869954342102	230	41266	13776	146259434.282859	54
20231127 202356	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	68	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.285507612180427	0.7414578557404	658	18114	11869	146784406.296852	55
20231127 202653	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	31	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.206315935211879	0.360689352982765	286	9850	10934	147408686.656672	56
20231127 203009	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	57	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0500549128510575	0.867472741712208	898	18950	15112	146217119.44028	57
20231127 203446	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	471	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.120136700997519	0.824563600381387	706	46875	12036	149116315.842079	58
20231127 204848	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1245	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.214604146773168	0.64391346595176	952	4898	11911	138281410.794603	59
20231127 205346	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	683	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.058377665901695	0.85122457888773	162	1271	14694	143112554.722639	60
20231127 205632	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	109	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.29968106246321	0.681002829396657	576	37421	12704	148204153.923038	61
20231127 210124	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	347	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.135998309715075	0.533034414663929	619	39362	12929	149726785.107446	62
20231127 210404	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	86	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.131089377154752	0.164300084441343	573	15829	15380	141230334.832584	63
20231127 210750	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	165	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.113169437156376	0.848948718376642	171	17551	11475	151718458.270865	64
