fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	data_sample_strategy	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	feature_fraction_bynode	max_depth	top_rate	other_rate	estimulos	ganancia	iteracion_bayesiana
20231126 221252	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.151188188168453	0.547852191857528	278	3204	0.936830070471187	11	0.264862025112961	0.140377436662675	14575	142373300.849575	17
20231126 222941	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	619	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0234135336743202	0.24932174101632	876	8950	0.0395982064786949	36	0.450506972076255	0.477096185553819	12168	146630976.511744	18
20231126 223649	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	61	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.132255944377393	0.286034498267109	749	28478	0.555540146784188	29	0.173292717823642	0.784618128251168	12459	150399393.803098	19
20231126 224953	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	376	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0411444383003982	0.586860853908875	100	9972	0.66712963896498	3	0.337935483330511	0.114617676619673	11393	157994327.336332	20
20231126 225713	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	71	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0837290630664211	0.664026065802464	212	5761	0.79244962343204	20	0.0761373194982298	0.324238468369003	13806	157755281.35932	21
20231126 230446	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	380	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.185692485204199	0.0602417102795152	455	36941	0.442765751288243	49	0.566780089051463	0.376011549727991	13589	144584286.356822	22
20231126 231211	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	532	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.28857871570217	0.776573635603127	680	26244	0.325740107588645	7	0.22019044253102	0.0539907924685394	11091	151582250.374813	23
20231126 232107	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	121	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0979686352505814	0.490028097931936	444	49582	0.13640931628368	25	0.0308093739004107	0.665215842804173	12957	150451804.597701	24
20231126 232709	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	24	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.214599426983623	0.942895028562634	761	36411	0.978557378811238	18	0.809575515129836	0.136012722272426	12087	152004713.143428	25
20231126 233427	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	23	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.194726060851244	0.222213529768633	604	1746	0.148994285354565	27	0.0166586503037252	0.916583426762372	15119	134180733.133433	26
20231126 234007	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	39	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0894606170046609	0.44925830516062	355	18293	0.520099865901575	24	0.355116323888069	0.0345339794585016	11554	149472724.637681	27
